Method,Path,Body,single_q,double_q,dashes,braces,spaces,badwords
GET,b'/gannettdigital-telegram/log/3/abtests?route=HK:IL:V&tvi48=10143&tvi50=11906&lti=deflated&ri=63935338f0cd54def8eb67afcdf16786&sd=v2_11b85d8fefc914ebf2a80c5fcfcf39cc_47f0fe82-6d08-48aa-bad0-1aad03377859-tuctc56752b_1700592620_1700595156_CIi3jgYQ0vxMGICI-5q_MSAHKAMwZziY0QpA3o8QSMvW8QNQ____________AVgAYABoi7KQoMnujt4ucAE&ui=47f0fe82-6d08-48aa-bad0-1aad03377859-tuctc56752b&pi=/&wi=1259362818905553127&pt=home&vi=1700595155968&d=%7B%22abTestsEventType%22%3A%22simple%22%2C%22name%22%3A%22block_clicks_init%22%2C%22type%22%3A%22block-clicks-manager%22%2C%22eventTime%22%3A1700595157290%7D&tim=01%3A02%3A37.290&id=9045&llvl=2&cv=20231121-7-RELEASE&',b'',0,0,0,0,0,0
GET,b'/gannettdigital-telegram/log/3/social?route=HK:IL:V&tvi48=10143&tvi50=11906&lti=deflated&ri=63935338f0cd54def8eb67afcdf16786&sd=v2_11b85d8fefc914ebf2a80c5fcfcf39cc_47f0fe82-6d08-48aa-bad0-1aad03377859-tuctc56752b_1700592620_1700595156_CIi3jgYQ0vxMGICI-5q_MSAHKAMwZziY0QpA3o8QSMvW8QNQ____________AVgAYABoi7KQoMnujt4ucAE&ui=47f0fe82-6d08-48aa-bad0-1aad03377859-tuctc56752b&pi=/&wi=1259362818905553127&pt=home&vi=1700595155968&st=social-available&d=%7B%22data%22%3A%5B%7B%22i%22%3A%22ctx%22%2C%22ism%22%3Afalse%2C%22srx%22%3A1536%2C%22sry%22%3A864%2C%22pd%22%3Anull%2C%22tpl%22%3A%22%22%2C%22url%22%3A%22https%3A%2F%2Fwww.telegram.com%2F%22%2C%22rref%22%3A%22https%3A%2F%2Fwww.telegram.com%2F%22%2C%22sref%22%3A%22https%3A%2F%2Fwww.telegram.com%2F%22%2C%22hdl%22%3A%22Worcester%20Telegram%20%3A%20Local%20News%2C%20Politics%20%26%20Sports%20in%20Worcester%2C%20MA%22%2C%22sec%22%3A%22%22%2C%22aut%22%3A%5B%5D%2C%22img%22%3A%22https%3A%2F%2Fwww.telegram.com%2Ftangstatic%2Fsites%2Fnteg%2Fog-image-q1a2z3ba2c7e6c.png%22%2C%22v%22%3A15%2C%22pw%22%3Afalse%7D%5D%7D&tim=01%3A02%3A37.325&id=6063&llvl=2&cv=20231121-7-RELEASE&',b'',0,0,0,0,0,0
GET,b'/sca.17.6.2.js',b'',0,0,0,0,0,0
GET,b'/gannettdigital-telegram/log/3/supply-feature?route=HK:IL:V&tvi48=10143&tvi50=11906&lti=deflated&ri=63935338f0cd54def8eb67afcdf16786&sd=v2_11b85d8fefc914ebf2a80c5fcfcf39cc_47f0fe82-6d08-48aa-bad0-1aad03377859-tuctc56752b_1700592620_1700595156_CIi3jgYQ0vxMGICI-5q_MSAHKAMwZziY0QpA3o8QSMvW8QNQ____________AVgAYABoi7KQoMnujt4ucAE&ui=47f0fe82-6d08-48aa-bad0-1aad03377859-tuctc56752b&pi=/&wi=1259362818905553127&pt=home&vi=1700595155968&d=%7B%22event_type%22%3A%22distance_from_article%22%2C%22event_state%22%3A%22reported%22%2C%22event_value%22%3A%22436%22%2C%22event_msg%22%3A%22%22%2C%22event_key%22%3A%22%22%7D&tim=01%3A02%3A37.343&id=9165&llvl=2&cv=20231121-7-RELEASE&',b'',0,0,0,0,0,0
GET,b'/',b'',0,0,0,0,0,0
POST,b'/client-logs',"b'[{""devicePixelRatio"":1.25,""errName"":""SyntaxError"",""hasBeenActive"":false,""hint"":""h6t1"",""innerHeight"":730,""innerWidth"":1536,""isActive"":false,""level"":""critical"",""locHash"":"""",""locPath"":""/"",""locQuery"":"""",""logIndex"":1,""message"":""Unexpected end of JSON input"",""niDownlink"":10,""niRtt"":0,""niSaveData"":false,""online"":true,""orientation"":""landscape-primary"",""pageLanguage"":""en-US"",""logTimestamp"":1700595155918,""reportedBy"":""tangent"",""sampleFraction"":1,""screenHeight"":864,""screenWidth"":1536,""stacktrace"":""SyntaxError: Unexpected end of JSON input\\n    at parse (<anonymous>)\\n    at I.cPlrSetup (https://www.telegram.com/:69:429)\\n    at https://www.telegram.com/:82:281"",""visibilityState"":""hidden"",""adFree"":false,""adsEnabled"":true,""appVersion"":""0.3996.0"",""authorized"":false,""botStatus"":""f"",""contentType"":""homefront"",""cookieCount"":18,""cookiesEnabled"":true,""cookieSize"":1257,""deviceMemory"":8,""environment"":""production"",""experienceId"":""AnonInfinityLow:2:out-market"",""globalPrivacyControl"":false,""hasMarketAccess"":false,""hlsSupport"":""no value"",""infoCookie"":true,""language"":""en-US"",""legacyCompany"":""Gatehouse"",""locOgHref"":""https://www.telegram.com/#gnt-rf"",""locOrigin"":""https://www.telegram.com"",""lrEnv"":false,""market"":""telegram"",""maxTouchPoints"":0,""newsAlert"":false,""pageExperienceType"":""desktop"",""pageExperienceVersion"":""tangent"",""pageHasVideo"":true,""pageHasVideoAutoplay"":true,""pageRefreshed"":true,""pageTimestamp"":1700595155686,""pageviewId"":""1700595155686_816435473"",""platform"":""Win32"",""production"":true,""referrer"":""https://www.telegram.com/"",""resizeObserverSupported"":true,""section"":""home"",""serverTimestamp"":1700595151237,""siteCode"":""NTEG"",""storageSupported"":true,""subsection"":""home"",""touchSupported"":false,""usprivacy"":""1---"",""webShareSupported"":true},{""devicePixelRatio"":1.25,""hasBeenActive"":false,""hint"":""h3h4"",""innerHeight"":730,""innerWidth"":1536,""isActive"":false,""level"":""critical"",""locHash"":"""",""locPath"":""/"",""locQuery"":"""",""logIndex"":2,""message"":""Timed out waiting for GUP response"",""niDownlink"":10,""niRtt"":0,""niSaveData"":false,""online"":true,""orientation"":""landscape-primary"",""pageLanguage"":""en-US"",""logTimestamp"":1700595159261,""reportedBy"":""tangent"",""sampleFraction"":1,""screenHeight"":864,""screenWidth"":1536,""visibilityState"":""hidden"",""adFree"":false,""adsEnabled"":true,""appVersion"":""0.3996.0"",""authorized"":false,""botStatus"":""f"",""contentType"":""homefront"",""cookieCount"":18,""cookiesEnabled"":true,""cookieSize"":1257,""deviceMemory"":8,""environment"":""production"",""experienceId"":""AnonInfinityLow:2:out-market"",""globalPrivacyControl"":false,""hasMarketAccess"":false,""hlsSupport"":""no value"",""infoCookie"":true,""language"":""en-US"",""legacyCompany"":""Gatehouse"",""locOgHref"":""https://www.telegram.com/#gnt-rf"",""locOrigin"":""https://www.telegram.com"",""lrEnv"":false,""market"":""telegram"",""maxTouchPoints"":0,""newsAlert"":false,""pageExperienceType"":""desktop"",""pageExperienceVersion"":""tangent"",""pageHasVideo"":true,""pageHasVideoAutoplay"":true,""pageRefreshed"":true,""pageTimestamp"":1700595155686,""pageviewId"":""1700595155686_816435473"",""platform"":""Win32"",""production"":true,""referrer"":""https://www.telegram.com/"",""resizeObserverSupported"":true,""section"":""home"",""serverTimestamp"":1700595151237,""siteCode"":""NTEG"",""storageSupported"":true,""subsection"":""home"",""touchSupported"":false,""usprivacy"":""1---"",""webShareSupported"":true},{""devicePixelRatio"":1.25,""errName"":""Error"",""hasBeenActive"":false,""hint"":""h3h3"",""innerHeight"":730,""innerWidth"":1536,""isActive"":false,""level"":""critical"",""locHash"":"""",""locPath"":""/"",""locQuery"":"""",""logIndex"":3,""message"":""GUP timeout"",""niDownlink"":10,""niRtt"":0,""niSaveData"":false,""online"":true,""orientation"":""landscape-primary"",""pageLanguage"":""en-US"",""logTimestamp"":1700595159262,""reportedBy"":""tangent"",""sampleFraction"":1,""screenHeight"":864,""screenWidth"":1536,""stacktrace"":""Error: GUP timeout\\n    at https://www.telegram.com/:34:1615"",""visibilityState"":""hidden"",""adFree"":false,""adsEnabled"":true,""appVersion"":""0.3996.0"",""authorized"":false,""botStatus"":""f"",""contentType"":""homefront"",""cookieCount"":18,""cookiesEnabled"":true,""cookieSize"":1257,""deviceMemory"":8,""environment"":""production"",""experienceId"":""AnonInfinityLow:2:out-market"",""globalPrivacyControl"":false,""hasMarketAccess"":false,""hlsSupport"":""no value"",""infoCookie"":true,""language"":""en-US"",""legacyCompany"":""Gatehouse"",""locOgHref"":""https://www.telegram.com/#gnt-rf"",""locOrigin"":""https://www.telegram.com"",""lrEnv"":false,""market"":""telegram"",""maxTouchPoints"":0,""newsAlert"":false,""pageExperienceType"":""desktop"",""pageExperienceVersion"":""tangent"",""pageHasVideo"":true,""pageHasVideoAutoplay"":true,""pageRefreshed"":true,""pageTimestamp"":1700595155686,""pageviewId"":""1700595155686_816435473"",""platform"":""Win32"",""production"":true,""referrer"":""https://www.telegram.com/"",""resizeObserverSupported"":true,""section"":""home"",""serverTimestamp"":1700595151237,""siteCode"":""NTEG"",""storageSupported"":true,""subsection"":""home"",""touchSupported"":false,""usprivacy"":""1---"",""webShareSupported"":true},{""devicePixelRatio"":1.25,""errName"":""Error"",""hasBeenActive"":false,""hint"":""h7h2"",""innerHeight"":730,""innerWidth"":1536,""isActive"":false,""level"":""critical"",""locHash"":"""",""locPath"":""/"",""locQuery"":"""",""logIndex"":4,""message"":""GUP timeout"",""niDownlink"":10,""niRtt"":0,""niSaveData"":false,""online"":true,""orientation"":""landscape-primary"",""pageLanguage"":""en-US"",""logTimestamp"":1700595159262,""reportedBy"":""tangent"",""sampleFraction"":1,""screenHeight"":864,""screenWidth"":1536,""stacktrace"":""Error: GUP timeout\\n    at https://www.telegram.com/:34:1615"",""visibilityState"":""hidden"",""adFree"":false,""adsEnabled"":true,""appVersion"":""0.3996.0"",""authorized"":false,""botStatus"":""f"",""contentType"":""homefront"",""cookieCount"":18,""cookiesEnabled"":true,""cookieSize"":1257,""deviceMemory"":8,""environment"":""production"",""experienceId"":""AnonInfinityLow:2:out-market"",""globalPrivacyControl"":false,""hasMarketAccess"":false,""hlsSupport"":""no value"",""infoCookie"":true,""language"":""en-US"",""legacyCompany"":""Gatehouse"",""locOgHref"":""https://www.telegram.com/#gnt-rf"",""locOrigin"":""https://www.telegram.com"",""lrEnv"":false,""market"":""telegram"",""maxTouchPoints"":0,""newsAlert"":false,""pageExperienceType"":""desktop"",""pageExperienceVersion"":""tangent"",""pageHasVideo"":true,""pageHasVideoAutoplay"":true,""pageRefreshed"":true,""pageTimestamp"":1700595155686,""pageviewId"":""1700595155686_816435473"",""platform"":""Win32"",""production"":true,""referrer"":""https://www.telegram.com/"",""resizeObserverSupported"":true,""section"":""home"",""serverTimestamp"":1700595151237,""siteCode"":""NTEG"",""storageSupported"":true,""subsection"":""home"",""touchSupported"":false,""usprivacy"":""1---"",""webShareSupported"":true}]'",0,800,4,2,51,0
GET,b'/?uid=47f0fe82-6d08-48aa-bad0-1aad03377859-tuctc56752b&ptf=V2luZG93cw==&bnd=Q2hyb21pdW0=&bndv=MTE5&bnd=Tm90P0FfQnJhbmQ=&bndv=MjQ=&mbl=ZmFsc2U=',b'',0,0,0,0,0,1
GET,b'/_online?1700595161262',b'',0,0,0,0,0,0
GET,b'/cs/6035223/beacon.js',b'',0,0,0,0,0,0
GET,b'/internal-cs/default/beacon.js',b'',0,0,0,0,0,0
GET,b'/up_loader.1.1.0.js',b'',0,0,0,0,0,0
POST,b'/gannettdigital-telegram/log/3/perf?tvi48=10143&tvi50=11906&route=HK%3AIL%3AV&lti=deflated',b'ri=63935338f0cd54def8eb67afcdf16786&sd=v2_11b85d8fefc914ebf2a80c5fcfcf39cc_47f0fe82-6d08-48aa-bad0-1aad03377859-tuctc56752b_1700592620_1700595156_CIi3jgYQ0vxMGICI-5q_MSAHKAMwZziY0QpA3o8QSMvW8QNQ____________AVgAYABoi7KQoMnujt4ucAE&ui=47f0fe82-6d08-48aa-bad0-1aad03377859-tuctc56752b&pi=%2F&wi=1259362818905553127&pt=home&vi=1700595155968&cv=20231121-7-RELEASE&networkId=gannett-network&lt=deflated&data=%7B%22measurements%22%3A%22%5B%7B%5C%22name%5C%22%3A%5C%22generalMeasure_loaderLoaded%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A692.6000000000931%2C%5C%22duration%5C%22%3A10304.19999999972%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_implLoaded%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A701.5%2C%5C%22duration%5C%22%3A10295.299999999814%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_inflate%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A669.3999999999069%2C%5C%22duration%5C%22%3A19.600000000093132%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_videoAjaxParsing_0%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2020%2C%5C%22duration%5C%22%3A0%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_videoEvalSingleManagerLoadUnitTime_0%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2064.100000000093%2C%5C%22duration%5C%22%3A0.19999999972060323%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_moduleLazyLoadTime_111578637%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2038.5%2C%5C%22duration%5C%22%3A33.89999999990687%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_moduleLazyLoadTime_138234501%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2021.2999999998137%2C%5C%22duration%5C%22%3A43.5%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_handleLoadResponse_390970767%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2012.3999999999069%2C%5C%22duration%5C%22%3A46.799999999813735%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_moduleLazyLoadTime_442383982%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2039.1000000000931%2C%5C%22duration%5C%22%3A37%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_imgLoadTime_612387012%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2998.2999999998137%2C%5C%22duration%5C%22%3A5688.899999999907%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_imgLoadTime_612387013%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2999.600000000093%2C%5C%22duration%5C%22%3A5745.799999999814%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_imgLoadTime_612387014%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A3000.100000000093%2C%5C%22duration%5C%22%3A1.599999999627471%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_moduleLazyLoadTime_733670571%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2038.8999999999069%2C%5C%22duration%5C%22%3A37.299999999813735%7D%2C%7B%5C%22name%5C%22%3A%5C%22reqMeasure_rendering_1018837982%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2052.6999999997206%2C%5C%22duration%5C%22%3A1.400000000372529%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_SmartEllipsis_1204732688%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2082.5%2C%5C%22duration%5C%22%3A0.10000000009313226%7D%2C%7B%5C%22name%5C%22%3A%5C%22reqMeasure_rendering_1748517868%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2040.1999999997206%2C%5C%22duration%5C%22%3A11.700000000186265%7D%2C%7B%5C%22name%5C%22%3A%5C%22reqMeasure_rendering_1895504606%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2025.1999999997206%2C%5C%22duration%5C%22%3A13.100000000093132%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_tblPush_-293262738%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A693.2999999998137%2C%5C%22duration%5C%22%3A0%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_tblPush_-694457877%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A693.2999999998137%2C%5C%22duration%5C%22%3A0%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_moduleLazyLoadTime_-1127827963%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A702.3999999999069%2C%5C%22duration%5C%22%3A9.799999999813735%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_pv3prase_-1781807320%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2015.7999999998137%2C%5C%22duration%5C%22%3A42.5%7D%2C%7B%5C%22name%5C%22%3A%5C%22reqMeasure_rendering_-77814859%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2055.100000000093%2C%5C%22duration%5C%22%3A1%7D%2C%7B%5C%22name%5C%22%3A%5C%22reqMeasure_rendering_-1131003350%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2057%2C%5C%22duration%5C%22%3A1.1999999997206032%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_firstImgLoadTime_-181332853%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A2998.2999999998137%2C%5C%22duration%5C%22%3A7998.5%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_domInteractive%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A495.29999999981374%2C%5C%22duration%5C%22%3A0%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_domContentLoadedEventEnd%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A498.79999999981374%2C%5C%22duration%5C%22%3A0%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_loadEventEnd%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A0%2C%5C%22duration%5C%22%3A0%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_domComplete%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A0%2C%5C%22duration%5C%22%3A0%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_connectionDownlink%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A10997.399999999907%2C%5C%22duration%5C%22%3A10%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_connectionEffectiveType%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A10997.399999999907%2C%5C%22duration%5C%22%3A4%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_ELMAX_1%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A6000.399999999907%2C%5C%22duration%5C%22%3A54.60000000009313%7D%2C%7B%5C%22name%5C%22%3A%5C%22generalMeasure_ELAVG_1%5C%22%2C%5C%22entryType%5C%22%3A%5C%22measure%5C%22%2C%5C%22startTime%5C%22%3A6000.399999999907%2C%5C%22duration%5C%22%3A18.40000000006209%7D%5D%22%2C%22dict%22%3A%22%7B%5C%220%5C%22%3A%5C%22~~%40~~%5C%22%2C%5C%22111578637%5C%22%3A%5C%22~~%40~~userx%5C%22%2C%5C%22138234501%5C%22%3A%5C%22~~%40~~feed-card-placeholder%5C%22%2C%5C%22390970767%5C%22%3A%5C%22handleLoadResponse~~%40~~%5C%22%2C%5C%22442383982%5C%22%3A%5C%22~~%40~~article-detection%5C%22%2C%5C%22612387012%5C%22%3A%5C%22~~%40~~1700595158261%5C%22%2C%5C%22612387013%5C%22%3A%5C%22~~%40~~1700595158262%5C%22%2C%5C%22612387014%5C%22%3A%5C%22~~%40~~1700595158263%5C%22%2C%5C%22733670571%5C%22%3A%5C%22~~%40~~distance-from-article%5C%22%2C%5C%221018837982%5C%22%3A%5C%22thumbnails-feed-desktop-03~~%40~~1826b32656fbc67c562e20582abc4bb4%5C%22%2C%5C%221204732688%5C%22%3A%5C%22Ellipsis~~%40~~all%5C%22%2C%5C%221670631494%5C%22%3A%5C%22RealTimeUserSyncMain~~%40~~0%5C%22%2C%5C%221748517868%5C%22%3A%5C%22thumbnails-feed-desktop-03~~%40~~dea20ad8772598ce5702d54a65422fef%5C%22%2C%5C%221895504606%5C%22%3A%5C%22thumbnails-feed-original-03~~%40~~51ab73e2406c8c1944064d2e1860a0f3%5C%22%2C%5C%22-293262738%5C%22%3A%5C%22Below_Homepage_Feed_-_Feed_Redesign~~%40~~0%5C%22%2C%5C%22-694457877%5C%22%3A%5C%22Right_Rail_Home_Thumbnails_-_Redesign~~%40~~0%5C%22%2C%5C%22-1127827963%5C%22%3A%5C%22~~%40~~google-topics-api%5C%22%2C%5C%22-1399777350%5C%22%3A%5C%22RealTimeUserSyncCallback~~%40~~0%5C%22%2C%5C%22-1021499608%5C%22%3A%5C%22TrcPv3~~%40~~undefined%5C%22%2C%5C%22-1781807320%5C%22%3A%5C%22TrcPv3~~%40~~%5C%22%2C%5C%22-77814859%5C%22%3A%5C%22exchange-thumbnails-desktop-deal-03~~%40~~b930328ee8076f4c52fcbaeec90d0024%5C%22%2C%5C%22-1131003350%5C%22%3A%5C%22exchange-thumbnails-desktop-a-03~~%40~~3f7d32d5cc095c32b25a19d0d23a9ca3%5C%22%2C%5C%22-181332853%5C%22%3A%5C%22~~%40~~firstImage%5C%22%7D%22%7D&tim=01%3A02%3A46.261&id=143&llvl=2',0,0,0,0,0,0
GET,b'/pagead/viewthroughconversion/994302621/?random=1700595159322&cv=9&fst=1700595159322&num=1&guid=ON&resp=GooglemKTybQhCsO&eid=466465926&u_h=864&u_w=1536&u_ah=816&u_aw=1536&u_cd=24&u_his=2&u_tz=330&u_java=false&u_nplug=5&u_nmime=2&sendb=1&ig=1&frm=0&url=https%3A%2F%2Fwww.telegram.com%2F&ref=https%3A%2F%2Fwww.telegram.com%2F&tiba=Worcester%20Telegram%20%3A%20Local%20News%2C%20Politics%20%26%20Sports%20in%20Worcester%2C%20MA&hn=www.googleadservices.com&uaa=&uab=&uam=&uap=Windows&uapv=&uaw=0&uafvl=&us_privacy=1---&async=1&rfmt=3&fmt=4',b'',0,0,1,0,0,1
GET,b'/scripts/fraud-detect.js',b'',0,0,0,0,0,0
GET,b'/b?c2=6035223&c1=2&cs_it=b8&cv=4.0.0%2B2301240627&ns__t=1700595164874&ns_c=UTF-8&c5=home&category=home&comscorekw=home_tangent&c6=home&c4=https%3A%2F%2Fwww.telegram.com%2F&c15=42613ae5-6656-4c70-918e-bdb267485339&cs_ucfr=&c7=https%3A%2F%2Fwww.telegram.com%2F&c8=Worcester%20Telegram%20%3A%20Local%20News%2C%20Politics%20%26%20Sports%20in%20Worcester%2C%20MA&c9=https%3A%2F%2Fwww.telegram.com%2F',b'',0,0,0,0,0,0
POST,b'/client-logs',"b'[{""devicePixelRatio"":1.25,""errName"":""TypeError"",""hasBeenActive"":false,""hint"":""h9e1"",""innerHeight"":730,""innerWidth"":1536,""isActive"":false,""level"":""critical"",""locHash"":"""",""locPath"":""/"",""locQuery"":"""",""logIndex"":5,""message"":""Failed to fetch"",""niDownlink"":10,""niRtt"":0,""niSaveData"":false,""online"":true,""orientation"":""landscape-primary"",""pageLanguage"":""en-US"",""logTimestamp"":1700595172098,""reportedBy"":""tangent"",""sampleFraction"":1,""screenHeight"":864,""screenWidth"":1536,""stacktrace"":""TypeError: Failed to fetch\\n    at h.ip.h.ld (https://www.telegram.com/:16:313)\\n    at https://www.telegram.com/:17:105"",""visibilityState"":""hidden"",""adFree"":false,""adsEnabled"":true,""appVersion"":""0.3996.0"",""authorized"":false,""botStatus"":""f"",""contentType"":""homefront"",""cookieCount"":18,""cookiesEnabled"":true,""cookieSize"":1257,""deviceMemory"":8,""environment"":""production"",""experienceId"":""AnonInfinityLow:2:out-market"",""globalPrivacyControl"":false,""hasMarketAccess"":false,""hlsSupport"":""no value"",""infoCookie"":true,""language"":""en-US"",""legacyCompany"":""Gatehouse"",""locOgHref"":""https://www.telegram.com/#gnt-rf"",""locOrigin"":""https://www.telegram.com"",""lrEnv"":false,""market"":""telegram"",""maxTouchPoints"":0,""newsAlert"":false,""pageExperienceType"":""desktop"",""pageExperienceVersion"":""tangent"",""pageHasVideo"":true,""pageHasVideoAutoplay"":true,""pageRefreshed"":true,""pageTimestamp"":1700595155686,""pageviewId"":""1700595155686_816435473"",""platform"":""Win32"",""production"":true,""referrer"":""https://www.telegram.com/"",""resizeObserverSupported"":true,""section"":""home"",""serverTimestamp"":1700595151237,""siteCode"":""NTEG"",""storageSupported"":true,""subsection"":""home"",""touchSupported"":false,""usprivacy"":""1---"",""webShareSupported"":true},{""devicePixelRatio"":1.25,""errName"":""TypeError"",""hasBeenActive"":false,""hint"":""h3h3"",""innerHeight"":730,""innerWidth"":1536,""isActive"":false,""level"":""critical"",""locHash"":"""",""locPath"":""/"",""locQuery"":"""",""logIndex"":6,""message"":""Failed to fetch"",""niDownlink"":10,""niRtt"":0,""niSaveData"":false,""online"":true,""orientation"":""landscape-primary"",""pageLanguage"":""en-US"",""logTimestamp"":1700595172100,""reportedBy"":""tangent"",""sampleFraction"":1,""screenHeight"":864,""screenWidth"":1536,""stacktrace"":""TypeError: Failed to fetch\\n    at h.ip.h.ld (https://www.telegram.com/:16:313)\\n    at https://www.telegram.com/:17:105"",""visibilityState"":""hidden"",""adFree"":false,""adsEnabled"":true,""appVersion"":""0.3996.0"",""authorized"":false,""botStatus"":""f"",""contentType"":""homefront"",""cookieCount"":18,""cookiesEnabled"":true,""cookieSize"":1257,""deviceMemory"":8,""environment"":""production"",""experienceId"":""AnonInfinityLow:2:out-market"",""globalPrivacyControl"":false,""hasMarketAccess"":false,""hlsSupport"":""no value"",""infoCookie"":true,""language"":""en-US"",""legacyCompany"":""Gatehouse"",""locOgHref"":""https://www.telegram.com/#gnt-rf"",""locOrigin"":""https://www.telegram.com"",""lrEnv"":false,""market"":""telegram"",""maxTouchPoints"":0,""newsAlert"":false,""pageExperienceType"":""desktop"",""pageExperienceVersion"":""tangent"",""pageHasVideo"":true,""pageHasVideoAutoplay"":true,""pageRefreshed"":true,""pageTimestamp"":1700595155686,""pageviewId"":""1700595155686_816435473"",""platform"":""Win32"",""production"":true,""referrer"":""https://www.telegram.com/"",""resizeObserverSupported"":true,""section"":""home"",""serverTimestamp"":1700595151237,""siteCode"":""NTEG"",""storageSupported"":true,""subsection"":""home"",""touchSupported"":false,""usprivacy"":""1---"",""webShareSupported"":true}]'",0,404,2,2,34,0
GET,b'/_online?1700595184262',b'',0,0,0,0,0,0
